clinic_name,addr_street,addr_housenumber,addr_postcode,addr_city,full_address,district,district_id,neighborhood,neighborhood_id,lor_id,services_offered,operating_hours,operating_days,phone_main,email_main,website_main,phone,contact_rawphone,email,contact_rawemail,website,contact_rawwebsite,contact_info,accessibility_features,latitude,longitude,data_source,source_osm_id
Tierarztpraxis am Urban,Baerwaldstraße,69,10961.0,Berlin,"Baerwaldstraße 69, 10961.0 Berlin",Friedrichshain-Kreuzberg,11002002,Kreuzberg,202,re_ortsteil.0202,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",Mon–Sat,,,,,,,,,,,wheelchair=no | nan,52.4956842,13.4052329,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 268917040)"
Dr. med. vet. Elke Hartwig,Straße 48,67,13125.0,Berlin,"Straße 48 67, 13125.0 Berlin",Pankow,11003003,Karow,305,re_ortsteil.0305,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",Mon–Fri,+49 30 9437820,,http://www.tierarztpraxis-hartwig.de/,+49 30 9437820,,,,http://www.tierarztpraxis-hartwig.de/,,Phone: +49 30 9437820 | Web: http://www.tierarztpraxis-hartwig.de/,wheelchair=limited | nan,52.6062863,13.4795548,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 299795048)"
Tierarztpraxis Dr. Bernhard Sörensen,Königsberger Straße,36,12207.0,Berlin,"Königsberger Straße 36, 12207.0 Berlin",Steglitz-Zehlendorf,11006006,Lichterfelde,602,re_ortsteil.0602,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",Mon–Fri,+49 30 7738321,,https://www.tierarztpraxis-soerensen.de/,+49 30 7738321,,,,https://www.tierarztpraxis-soerensen.de/,,Phone: +49 30 7738321 | Web: https://www.tierarztpraxis-soerensen.de/,wheelchair=yes | nan,52.4297216,13.3201326,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 347294456)"
Tierarztpraxis Jeanette Koepsel,,,,,"nan nan, nan nan",Spandau,11005005,Siemensstadt,503,re_ortsteil.0503,,,Unknown,,,,,,,,,,,wheelchair=nan | nan,52.5351995,13.2705734,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 394867279)"
Kleintierarztpraxis Berlin Kaulsdorf,Planitzstraße,19,12621.0,Berlin,"Planitzstraße 19, 12621.0 Berlin",Marzahn-Hellersdorf,11010010,Kaulsdorf,1003,re_ortsteil.1003,,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Mon–Fri,+49 30 53018585,info@tierarzt-kaulsdorf.de,https://www.tierarzt-kaulsdorf.de/,+49 30 53018585,,info@tierarzt-kaulsdorf.de,,https://www.tierarzt-kaulsdorf.de/,,Phone: +49 30 53018585 | Email: info@tierarzt-kaulsdorf.de | Web: https://www.tierarzt-kaulsdorf.de/,wheelchair=nan | nan,52.5095114,13.5896353,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 411550894)"
Eva Klein,,,,,"nan nan, nan nan",Steglitz-Zehlendorf,11006006,Nikolassee,606,re_ortsteil.0606,,,Unknown,,,,,,,,,,,wheelchair=nan | nan,52.4288173,13.1935291,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 581887970)"
Klein- und Heimtierklinik,Oertzenweg,19b,14163.0,Berlin,"Oertzenweg 19b, 14163.0 Berlin",Steglitz-Zehlendorf,11006006,Zehlendorf,604,re_ortsteil.0604,emergency,"Mo-Fr 09:00-13:00,14:00-16:00",Mon–Fri,,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,,,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,Web: https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,wheelchair=yes | nan,52.4302981,13.2373596,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 603392630)"
Tierarztpraxis im Frauenviertel - Firchow,,,,,"nan nan, nan nan",Neukölln,11008008,Rudow,804,re_ortsteil.0804,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",Mon–Fri,,,,,,,,,,,wheelchair=limited | nan,52.4042597,13.5071658,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 702363921)"
Kleintierpraxis Kladow,Zingerleweg,29,14089.0,Berlin,"Zingerleweg 29, 14089.0 Berlin",Spandau,11005005,Kladow,506,re_ortsteil.0506,,,Unknown,+49 30 3653374,info@kleintierpraxis-kladow.de,http://www.kleintierpraxis-kladow.de,,+49 30 3653374,,info@kleintierpraxis-kladow.de,,http://www.kleintierpraxis-kladow.de,Phone: +49 30 3653374 | Email: info@kleintierpraxis-kladow.de | Web: http://www.kleintierpraxis-kladow.de,wheelchair=nan | nan,52.4608878,13.121554,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 703135335)"
Carsten Schiller,Schnellerstraße,97,12439.0,Berlin,"Schnellerstraße 97, 12439.0 Berlin",Treptow-Köpenick,11009009,Niederschöneweide,905,re_ortsteil.0905,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",Unknown,,,,,,,,,,,"wheelchair=no | Eine Stufe, schmale Tür zum Behandlungsraum",52.4531078,13.5245669,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 978560965)"
Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,,,,,"nan nan, nan nan",Neukölln,11008008,Buckow,803,re_ortsteil.0803,,,Unknown,,,https://www.lewandowski-klug.de/,,,,,https://www.lewandowski-klug.de/,,Web: https://www.lewandowski-klug.de/,wheelchair=no | nan,52.4232758,13.4367554,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1003123264)"
Gabriele C. Müller,Brunowstraße,39,13507.0,Berlin,"Brunowstraße 39, 13507.0 Berlin",Reinickendorf,11012012,Tegel,1202,re_ortsteil.1202,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",Includes Saturday,+49304343116,,https://www.tieraerztin-berlin.com/,+49304343116,,,,https://www.tieraerztin-berlin.com/,,Phone: +49304343116 | Web: https://www.tieraerztin-berlin.com/,wheelchair=limited | nan,52.5870846,13.2811455,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1069431810)"
Tierarztpraxis Feuerbachstraße,Feuerbachstraße,68,12163.0,Berlin,"Feuerbachstraße 68, 12163.0 Berlin",Steglitz-Zehlendorf,11006006,Steglitz,601,re_ortsteil.0601,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Mon–Sun,+49 30 855 40 50,,,+49 30 855 40 50,,,,,,Phone: +49 30 855 40 50,wheelchair=no | nan,52.464411,13.3395319,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1139485719)"
Tierarztpraxis Kammbach,Schweizer Tal,55,13127.0,Berlin,"Schweizer Tal 55, 13127.0 Berlin",Pankow,11003003,Französisch Buchholz,310,re_ortsteil.0310,,,Unknown,+4930 47 48 12 20,,https://www.tierarztpraxis-kammbach.de/,+4930 47 48 12 20,,,,https://www.tierarztpraxis-kammbach.de/,,Phone: +4930 47 48 12 20 | Web: https://www.tierarztpraxis-kammbach.de/,wheelchair=yes | nan,52.6074605,13.41982,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1158920335)"
Tierarztpraxis am Velodrom,Conrad-Blenkle-Straße,4,10407.0,Berlin,"Conrad-Blenkle-Straße 4, 10407.0 Berlin",Pankow,11003003,Prenzlauer Berg,301,re_ortsteil.0301,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",Includes Saturday,+493042085005,,http://www.tierarztpraxis-am-velodrom.de/,,+493042085005,,,,http://www.tierarztpraxis-am-velodrom.de/,Phone: +493042085005 | Web: http://www.tierarztpraxis-am-velodrom.de/,wheelchair=limited | nan,52.5281462,13.4501959,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1169112227)"
